DR_NO	Date Rptd	DATE OCC	TIME OCC	AREA	AREA NAME	Rpt Dist No	Part 1-2	Crm Cd	Crm Cd Desc	Mocodes	Vict Age	Vict Sex	Vict Descent	Premis Cd	Premis Desc	Weapon Used Cd	Weapon Desc	Status	Status Desc	Crm Cd 1	Crm Cd 2	Crm Cd 3	Crm Cd 4	LOCATION	Cross Street	LAT	LON
200510476	06/11/2020 12:00:00 AM	06/09/2020 12:00:00 AM	1730	05	Harbor	0563	2	901	VIOLATION OF RESTRAINING ORDER	0421 2000 0319 1309 2038 0913	27	F	H	501	SINGLE FAMILY DWELLING	N/A	N/A	AA	Adult Arrest	901	N/A	N/A	N/A	1200 S  MEYLER                       ST	N/A	33.7325	-118.2968
201009732	04/28/2020 12:00:00 AM	04/28/2020 12:00:00 AM	2300	10	West Valley	1003	1	230	ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT	0342 0416 0431 0605 1822 1309 2029 0417 0906	33	F	O	103	ALLEY	303	BRASS KNUCKLES	AO	Adult Other	230	N/A	N/A	N/A	SATICOY	RESEDA	34.2084	-118.536
200205367	01/28/2020 12:00:00 AM	01/28/2020 12:00:00 AM	2230	02	Rampart	0265	1	210	ROBBERY	0342 1822 0416 0446 0417 0344 0352	33	M	H	101	STREET	400	STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)	IC	Invest Cont	210	N/A	N/A	N/A	LAKE                         ST	7TH                          ST	34.057	-118.2779
200611305	06/11/2020 12:00:00 AM	06/11/2020 12:00:00 AM	0700	06	Hollywood	0646	2	888	TRESPASSING	1501	0	X	X	203	OTHER BUSINESS	N/A	N/A	IC	Invest Cont	888	N/A	N/A	N/A	1600 N  CAHUENGA                     BL	N/A	34.0998	-118.3295
200205401	01/28/2020 12:00:00 AM	01/28/2020 12:00:00 AM	1100	02	Rampart	0248	2	860	BATTERY WITH SEXUAL CONTACT	0400 0500 1822 0536 1251	21	F	B	502	MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)	400	STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)	IC	Invest Cont	860	N/A	N/A	N/A	400    WITMER                       ST	N/A	34.0576	-118.2644
200814235	09/18/2020 12:00:00 AM	08/10/2020 12:00:00 AM	1000	08	West LA	0803	2	354	THEFT OF IDENTITY	1210 0100 0928 1822	49	M	W	501	SINGLE FAMILY DWELLING	N/A	N/A	IC	Invest Cont	354	N/A	N/A	N/A	2900    MANDEVILLE CANYON            RD	N/A	34.0949	-118.5111
200705366	01/29/2020 12:00:00 AM	01/29/2020 12:00:00 AM	1105	07	Wilshire	0721	1	343	SHOPLIFTING-GRAND THEFT ($950.01 & OVER)	0325	46	M	W	416	THE BEVERLY CENTER	N/A	N/A	IC	Invest Cont	343	N/A	N/A	N/A	8500    BEVERLY                      BL	N/A	34.0761	-118.3766
200807440	03/16/2020 12:00:00 AM	03/09/2020 12:00:00 AM	2000	08	West LA	0884	2	624	BATTERY - SIMPLE ASSAULT	0447	23	F	B	203	OTHER BUSINESS	500	UNKNOWN WEAPON/OTHER WEAPON	AO	Adult Other	624	N/A	N/A	N/A	11000 W  PICO                         BL	N/A	34.0383	-118.4324
200414612	11/04/2020 12:00:00 AM	11/04/2020 12:00:00 AM	1945	04	Hollenbeck	0437	2	626	INTIMATE PARTNER - SIMPLE ASSAULT	2000 1814 0400 0913	31	F	H	501	SINGLE FAMILY DWELLING	400	STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)	AO	Adult Other	626	N/A	N/A	N/A	2400    RICHELIEU                    AV	N/A	34.0728	-118.1829
201215269	06/24/2020 12:00:00 AM	06/24/2020 12:00:00 AM	0945	12	77th Street	1233	2	888	TRESPASSING	0913	32	M	B	203	OTHER BUSINESS	N/A	N/A	IC	Invest Cont	888	N/A	N/A	N/A	1900 W  SLAUSON                      AV	N/A	33.9891	-118.3125
200715686	11/06/2020 12:00:00 AM	11/01/2020 12:00:00 AM	1700	07	Wilshire	0759	1	440	THEFT PLAIN - PETTY ($950 & UNDER)	1822 0344	75	M	B	102	SIDEWALK	N/A	N/A	IC	Invest Cont	440	N/A	N/A	N/A	CRENSHAW                     BL	PICO                         BL	34.0478	-118.3265
200207186	03/02/2020 12:00:00 AM	03/01/2020 12:00:00 AM	1000	02	Rampart	0256	1	420	THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)	0385 0344	34	M	H	101	STREET	N/A	N/A	IC	Invest Cont	420	N/A	N/A	N/A	600 S  BONNIE BRAE                  ST	N/A	34.0585	-118.2725
200706934	03/03/2020 12:00:00 AM	03/03/2020 12:00:00 AM	1730	07	Wilshire	0732	1	341	THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD	N/A	28	F	O	242	DISCOUNT STORE (99 CENT,DOLLAR,ETC.	N/A	N/A	IC	Invest Cont	341	N/A	N/A	N/A	6100    WILSHIRE                     BL	N/A	34.0665	-118.3662
201007653	03/30/2020 12:00:00 AM	03/30/2020 12:00:00 AM	1330	10	West Valley	1039	2	626	INTIMATE PARTNER - SIMPLE ASSAULT	0913 1813 1814 0448 2000 1243	41	F	H	502	MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)	400	STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)	AA	Adult Arrest	626	N/A	N/A	N/A	16100    VANOWEN                      ST	N/A	34.1939	-118.4836
201227065	12/24/2020 12:00:00 AM	12/24/2020 12:00:00 AM	0600	12	77th Street	1243	1	440	THEFT PLAIN - PETTY ($950 & UNDER)	0342 1202 0344 0327 1822	0	X	X	206	TV/RADIO/APPLIANCE	N/A	N/A	IC	Invest Cont	440	N/A	N/A	N/A	6400 S  WESTERN                      AV	N/A	33.9806	-118.309
200618102	11/16/2020 12:00:00 AM	11/16/2020 12:00:00 AM	1430	06	Hollywood	0645	2	624	BATTERY - SIMPLE ASSAULT	1822 0400 0448 2004	31	M	W	102	SIDEWALK	400	STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)	IC	Invest Cont	624	N/A	N/A	N/A	ORANGE	HOLLYWOOD	0	0
201014880	11/09/2020 12:00:00 AM	11/08/2020 12:00:00 AM	1200	10	West Valley	1039	1	510	VEHICLE - STOLEN	N/A	0	N/A	N/A	101	STREET	N/A	N/A	IC	Invest Cont	510	N/A	N/A	N/A	15700    VANOWEN                      ST	N/A	34.1939	-118.4756
201214519	06/10/2020 12:00:00 AM	06/10/2020 12:00:00 AM	0130	12	77th Street	1268	2	626	INTIMATE PARTNER - SIMPLE ASSAULT	1202 0400 0416 1814 2000 0329	59	F	B	502	MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)	400	STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)	IC	Invest Cont	626	N/A	N/A	N/A	200 W  82ND                         ST	N/A	33.9651	-118.2768
200810126	05/30/2020 12:00:00 AM	05/30/2020 12:00:00 AM	0030	08	West LA	0827	1	230	ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT	0602 0417 0416 0360 0913	56	M	W	502	MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)	400	STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)	IC	Invest Cont	230	N/A	N/A	N/A	600 S  BARRINGTON                   AV	N/A	34.0577	-118.4681
201206932	02/11/2020 12:00:00 AM	02/11/2020 12:00:00 AM	1540	12	77th Street	1251	1	210	ROBBERY	1300 0329 0370 0344 0340 0411 1202 0913	73	M	B	502	MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)	200	KNIFE WITH BLADE 6INCHES OR LESS	AO	Adult Other	210	N/A	N/A	N/A	7400    CRENSHAW                     BL	N/A	33.9727	-118.3309
200609752	04/29/2020 12:00:00 AM	04/21/2020 12:00:00 AM	0920	06	Hollywood	0644	1	341	THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD	0344 0329 1601 1607	59	M	W	119	PORCH, RESIDENTIAL	N/A	N/A	IC	Invest Cont	341	N/A	N/A	N/A	1400 N  VISTA                        ST	N/A	34.0962	-118.3517
200816103	10/27/2020 12:00:00 AM	10/27/2020 12:00:00 AM	1355	08	West LA	0833	2	860	BATTERY WITH SEXUAL CONTACT	0500	20	F	O	102	SIDEWALK	400	STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)	AA	Adult Arrest	860	N/A	N/A	N/A	1200    WESTWOOD                     BL	N/A	34.0581	-118.4434
200511829	07/14/2020 12:00:00 AM	07/10/2020 12:00:00 AM	2145	05	Harbor	0562	2	626	INTIMATE PARTNER - SIMPLE ASSAULT	2000 1814 0444 0537 0913	28	F	H	502	MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)	400	STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)	AO	Adult Other	626	N/A	N/A	N/A	1200 S  LELAND                       ST	N/A	33.7326	-118.305
